Action Name,Prompt Description,Action Function,Data Collection,Data Insertion,Data Exfiltration,Resource Control,Trace Hiding
is.workflow.actions.openapp,Open App,action_openapp,,,,1.0,
is.workflow.actions.sendmessage,Send Message,action_sendmessage,,1.0,1.0,,
is.workflow.actions.dictionary,Dictionary,action_dictionary,1.0,,,,
is.workflow.actions.gettext,Text,action_gettext,,1.0,,,
is.workflow.actions.choosefromlist,Choose from List,action_choosefromlist,,,1.0,"",
is.workflow.actions.conditional,If,action_conditional,,,,,
is.workflow.actions.setvariable,Set Variable,action_setvariable,,,,,
is.workflow.actions.playmusic,Play Music,action_playmusic,,,,1.0,
is.workflow.actions.showresult,Show Result,action_showresult,,,1.0,,
is.workflow.actions.alert,Show Alert,action_alert,,1.0,1.0,1.0,
is.workflow.actions.getlastphoto,Get Last Photos,action_getlastphoto,1.0,,,,
is.workflow.actions.image.resize,Resize Image,action_resize,,,,,
is.workflow.actions.image.convert,Convert Image,action_image_convert,,,,,
is.workflow.actions.base64encode,Base64 Encode,action_base64encode,,,,,1.0
is.workflow.actions.detect.text,Get Text From Input,action_detect_text,,,,,
is.workflow.actions.text.split,Split Text,action_text_split,,,,,
is.workflow.actions.repeat.each,Repeat with Each,action_repeat_each,,,,,
com.apple.mobiletimer-framework.MobileTimerIntents.MTCreateAlarmIntent,Add Alarm,action_create_alarm,,,,1.0,
com.apple.mobiletimer.DeleteAlarmIntent,Delete Alarm,action_delete_alarm,,,,1.0,
is.workflow.actions.ask,Ask for Input,action_ask,1.0,,,"",
is.workflow.actions.count,Count,action_count,,,,,
is.workflow.actions.choosefrommenu,Choose from Menu,action_choosefrommenu,,,1.0,"",
is.workflow.actions.repeat.count,Repeat,action_repeat_count,,,,,
is.workflow.actions.delay,Wait,action_delay,,,,,
is.workflow.actions.getvariable,Get Variable,action_getvariable,,,,,
is.workflow.actions.appendvariable,Add to Variable,action_appendvariable,,,,,
is.workflow.actions.list,List,action_list,,1.0,,,
is.workflow.actions.getvalueforkey,Get Dictionary Value,action_getvalueforkey,,,,,
is.workflow.actions.setvalueforkey,Set Dictionary Value,action_setvalueforkey,,,,,
is.workflow.actions.detect.dictionary,Get Dictionary from Input,action_detect_dictionary,,,,,
is.workflow.actions.number,Number,action_number,,,,,
is.workflow.actions.number.random,Random Number between,action_number_random,,,,,
is.workflow.actions.round,Round Number,action_round,,,,,
is.workflow.actions.statistics,Calculate Statistics,action_statistics,,,,,
is.workflow.actions.measurement.create,Measurement,action_measurement_create,,,,,
is.workflow.actions.measurement.convert,Convert Measurement,action_measurement_convert,,,,,
is.workflow.actions.date,Date,action_date,,,,,
is.workflow.actions.format.date,Format Date,action_format_date,,,,,
is.workflow.actions.adjustdate,Adjust Date,action_adjustdate,,,,1.0,
is.workflow.actions.gettimebetweendates,Get Time Between Dates,action_gettimebetweendates,,,,,
is.workflow.actions.detect.date,Get Date from Input,action_detect_date,,,,,
is.workflow.actions.converttimezone,Convert Time Zone,action_converttimezone,,,,,
is.workflow.actions.getnameofemoji,Get Name of Emoji,action_getnameofemoji,,,,,
is.workflow.actions.showdefinition,Show Definition,action_showdefinition,,,,,
is.workflow.actions.text.changecase,Change Case,action_text_changecase,,,,,
is.workflow.actions.text.combine,Combine Text,action_text_combine,,,,,
is.workflow.actions.text.replace,Replace Text,action_text_replace,,,,,
is.workflow.actions.text.match,Match Text,action_text_match,,,,,
is.workflow.actions.correctspelling,Correct Spelling,action_correctspelling,,,,,
is.workflow.actions.text.match.getgroup,Get Group from Matched Text,action_text_match_getgroup,,,,,
is.workflow.actions.dictatetext,Dictate Text,action_dictatetext,,,1.0,1.0,
com.apple.ShortcutsActions.TranscribeAudioAction,Transcribe Audio,action_transcribe_audio,,,,,
is.workflow.actions.speaktext,Speak Text,action_speaktext,,1.0,1.0,,
is.workflow.actions.makespokenaudiofromtext,Make Spoken Audio from Text,action_makespokenaudiofromtext,,,,,
is.workflow.actions.detectlanguage,Detect Language,action_detectlanguage,,,,,
is.workflow.actions.text.translate,Translate Text,action_text_translate,,,,,
is.workflow.actions.getitemname,Get Name,action_getitemname,,,,,
is.workflow.actions.setitemname,Set Name,action_setitemname,,,,,
is.workflow.actions.getitemtype,Get Type,action_getitemtype,,,,,
is.workflow.actions.getmyworkflows,Get My Shortcuts,action_getmyworkflows,1.0,,,,
is.workflow.actions.viewresult,View Content Graph,action_viewresult,,,1.0,,
is.workflow.actions.previewdocument,Quick Look,action_previewdocument,,,1.0,1.0,
is.workflow.actions.runworkflow,Run Shortcut,action_runworkflow,,,,1.0,
is.workflow.actions.getonscreencontent,Get What's On Screen,action_getonscreencontent,1.0,,,,
is.workflow.actions.hash,Generate Hash,action_hash,,,,,1.0
is.workflow.actions.urlencode,URL Encode,action_urlencode,,,,,
is.workflow.actions.exit,Stop Shortcut,action_exit,,,,,
is.workflow.actions.openxcallbackurl,Open X-Callback URL,action_openxcallbackurl,,1.0,1.0,1.0,
is.workflow.actions.runsshscript,Run Script over SSH,action_runsshscript,,1.0,1.0,1.0,1.0
is.workflow.actions.waittoreturn,Wait to Return,action_waittoreturn,,,,,
is.workflow.actions.output,Stop and Output,action_output,,,1.0,1.0,
is.workflow.actions.format.filesize,Format File Size,action_format_filesize,,,,,
is.workflow.actions.flashlight,Set Flashlight,action_flashlight,,,,1.0,
is.workflow.actions.dnd.set,Set Focus,action_dnd_set,,,,1.0,
is.workflow.actions.dnd.getfocus,Get Current Focus,action_dnd_getfocus,,,,,
is.workflow.actions.nothing,Nothing,action_nothing,,,,,
is.workflow.actions.bluetooth.set,Set Bluetooth,action_bluetooth_set,,,,1.0,
is.workflow.actions.wifi.set,Set Wi-Fi,action_wifi_set,,,,1.0,
is.workflow.actions.airplanemode.set,Set Airplane Mode,action_airplanemode_set,,,,1.0,
is.workflow.actions.reboot,Shutdown,action_reboot,,,,1.0,
is.workflow.actions.lowpowermode.set,Set Low Power Mode,action_lowpowermode_set,,,,1.0,
is.workflow.actions.appearance,Set Appearance,action_appearance,,,,1.0,
is.workflow.actions.setairdropreceiving,Set AirDrop Receiving,action_setairdroppreceiving,,,,1.0,
is.workflow.actions.vpn.set,Set VPN,action_vpn_set,,,,1.0,
is.workflow.actions.personalhotspot.set,Set Personal Hotspot,action_personalhotspot_set,,,,1.0,
is.workflow.actions.cellulardata.set,Set Cellular Data,action_cellulardata_set,,,,1.0,
is.workflow.actions.lockscreen,Lock Screen,action_lockscreen,,,,1.0,
is.workflow.actions.nightshift.set,Set Night Shift,action_nightshift_set,,,,1.0,
is.workflow.actions.truetone.set,Set True Tone,action_truetone_set,,,,1.0,
is.workflow.actions.setbrightness,Set Brightness,action_setbrightness,,,,1.0,
is.workflow.actions.orientationlock.set,Set Orientation Lock,action_orientationlock_set,,,,1.0,
is.workflow.actions.returntohomescreen,Go to Home Screen,action_returntohomescreen,,,,1.0,
is.workflow.actions.takephoto,Take Photo,action_takephoto,1.0,,,,
is.workflow.actions.takevideo,Take Video,action_takevideo,1.0,,,,
is.workflow.actions.recordaudio,Record Audio,action_recordaudio,1.0,,,,
is.workflow.actions.takescreenshot,Take Screenshot,action_takescreenshot,1.0,,,,
is.workflow.actions.getdevicedetails,Get Device Details,action_getdevicedetails,1.0,,,,
is.workflow.actions.getbatterylevel,Get Battery Status,action_getbatterylevel,1.0,,,,
com.apple.ShortcutsActions.GetOrientationAction,Get Orientation,action_getorientation,1.0,,,,
com.apple.ShortcutsActions.GetPhysicalActivity,Get Physical Activity,action_getphysicalactivity,1.0,,,,
is.workflow.actions.setclipboard,Copy to Clipboard,action_setclipboard,,,,"",
is.workflow.actions.playsound,Play Sound,action_playsound,,,1.0,1.0,
is.workflow.actions.notification,Show Notification,action_notification,,,,,
is.workflow.actions.getclipboard,Get Clipboard,action_getclipboard,1.0,,,,
is.workflow.actions.vibrate,Vibrate Device,action_vibrate,,,,1.0,
is.workflow.actions.getipaddress,Get Current IP Address,action_getipaddress,1.0,,,,
is.workflow.actions.getwifi,Get Network Details,action_getwifi,1.0,,,,
is.workflow.actions.personalhotspot.password.get,Get Hotspot Password,action_personalhotspot_password_get,1.0,,,,
com.apple.ShortcutsActions.ResetCellularDataStatisticsAction,Reset Cellular Data Statistics,action_reset_cellulardata_statistics,,,,1.0,
is.workflow.actions.wallpaper.set,Set Wallpaper Photo,action_wallpaper_set,,,1.0,1.0,
is.workflow.actions.posters.get,Get All Wallpapers,action_posters_get,1.0,,,,
is.workflow.actions.getcurrentlocation,Get Current Location,action_getcurrentlocation,1.0,,,,
is.workflow.actions.searchlocalbusinesses,Find Places,action_searchlocalbusinesses,,,,,
is.workflow.actions.posters.switch,Switch Between Wallpapers,action_posters_switch,,,,1.0,
is.workflow.actions.getdirections,Open Directions,action_getdirections,,,,,
is.workflow.actions.searchmaps,Open in Maps,action_searchmap,,,,,
