Action Name,Action Function
is.workflow.actions.addnewcontact,action_add_new_contact
com.apple.mobilenotes.AddTagsToNotesLinkAction,action_add_tag_notes
com.apple.mobilenotes.PinNotesLinkAction,action_add_to_pinnote
is.workflow.actions.addframetogif,action_addframetogif
is.workflow.actions.addmusictoupnext,action_addmusictoupnext
is.workflow.actions.addnewcalendar,action_addnewcalendar
is.workflow.actions.addnewevent,action_addnewevent
is.workflow.actions.addnewreminder,action_addnewreminder
is.workflow.actions.address,action_address
is.workflow.actions.addtoplaylist,action_addtoplaylist
is.workflow.actions.adjustdate,action_adjustdate
is.workflow.actions.airdropdocument,action_airdropdocument
is.workflow.actions.airplanemode.set,action_airplanemode_set
is.workflow.actions.alert,action_alert
is.workflow.actions.appearance,action_appearance
is.workflow.actions.appendnote,action_appendnote
is.workflow.actions.appendvariable,action_appendvariable
is.workflow.actions.ask,action_ask
is.workflow.actions.avairyeditphoto,action_avairyeditphoto
is.workflow.actions.base64encode,action_base64encode
is.workflow.actions.bluetooth.set,action_bluetooth_set
is.workflow.actions.calculateexpression,action_calculateexpression
com.apple.mobilephone.call,action_call
com.apple.mobiletimer.CancelTimerIntent,action_cancel_timer
is.workflow.actions.cellulardata.set,action_cellulardata_set
com.apple.mobilemail.MailFocusConfigurationAction,action_change_focus_mail
com.apple.VoiceMemos.ChangeRecordingPlaybackSetting,action_change_setting_recording
is.workflow.actions.choosefromlist,action_choosefromlist
is.workflow.actions.choosefrommenu,action_choosefrommenu
is.workflow.actions.clearupnext,action_clearupnext
is.workflow.actions.comment,action_comment
is.workflow.actions.compresspdf,action_compresspdf
is.workflow.actions.conditional,action_conditional
is.workflow.actions.contacts,action_contacts
is.workflow.actions.converttimezone,action_converttimezone
is.workflow.actions.correctspelling,action_correctspelling
is.workflow.actions.count,action_count
com.apple.mobiletimer-framework.MobileTimerIntents.MTCreateAlarmIntent,action_create_alarm
is.workflow.actions.alarm.create,action_create_alarm
com.apple.mobilenotes.CreateFolderLinkAction,action_create_note_folder
com.apple.VoiceMemos.RecordVoiceMemoIntent,action_create_recording
is.workflow.actions.sirikit.donation.handle,action_create_recording
com.apple.reminders.TTRCreateListAppIntent,action_create_remainderlist
com.apple.shortcuts.CreateWorkflowAction,action_create_shortcut
com.apple.mobilenotes.CreateTagLinkAction,action_create_tag_notes
com.apple.mobilenotes.SharingExtension,action_createnote
is.workflow.actions.createplaylist,action_createplaylist
is.workflow.actions.date,action_date
is.workflow.actions.delay,action_delay
com.apple.mobiletimer.DeleteAlarmIntent,action_delete_alarm
com.apple.mobilenotes.DeleteFoldersLinkAction,action_delete_note_folder
com.apple.VoiceMemos.DeleteRecording,action_delete_recording
com.apple.mobilenotes.DeleteTagsLinkAction,action_delete_tag_notes
com.apple.mobilenotes.DeleteNotesLinkAction,action_deletenote
is.workflow.actions.deletephotos,action_deletephoto
com.apple.shortcuts.DeleteWorkflowAction,action_deleteworkflow
is.workflow.actions.detect.address,action_detect_address
is.workflow.actions.detect.contacts,action_detect_contacts
is.workflow.actions.detect.date,action_detect_date
is.workflow.actions.detect.dictionary,action_detect_dictionary
is.workflow.actions.detect.emailaddress,action_detect_emailaddress
is.workflow.actions.detect.images,action_detect_images
is.workflow.actions.detect.link,action_detect_link
is.workflow.actions.detect.number,action_detect_number
is.workflow.actions.detect.phonenumber,action_detect_phonenumber
is.workflow.actions.detect.text,action_detect_text
is.workflow.actions.detectlanguage,action_detectlanguage
is.workflow.actions.dictatetext,action_dictatetext
is.workflow.actions.dictionary,action_dictionary
is.workflow.actions.dismisssiri,action_dismisssiri
is.workflow.actions.dnd.getfocus,action_dnd_getfocus
is.workflow.actions.dnd.set,action_dnd_set
is.workflow.actions.documentpicker.open,action_documentpicker_open
is.workflow.actions.documentpicker.save,action_documentpicker_save
is.workflow.actions.downloadurl,action_downloadurl
com.apple.mobiletimer.EditSleepAlarmIntent,action_edit_alarm
is.workflow.actions.email,action_email
is.workflow.actions.encodemedia,action_encodemedia
is.workflow.actions.exit,action_exit
is.workflow.actions.exportsong,action_exportsong
is.workflow.actions.extracttextfromimage,action_extracttextfromimage
com.apple.facetime.facetime,action_facetime
is.workflow.actions.file,action_file
is.workflow.actions.folder,action_file
is.workflow.actions.file.append,action_file_append
is.workflow.actions.file.createfolder,action_file_createfolder
is.workflow.actions.file.delete,action_file_delete
is.workflow.actions.file.getfoldercontents,action_file_getfoldercontents
is.workflow.actions.file.getlink,action_file_getlink
is.workflow.actions.file.move,action_file_move
is.workflow.actions.file.rename,action_file_rename
is.workflow.actions.file.select,action_file_select
com.apple.mobiletimer-framework.MobileTimerIntents.MTGetAlarmsIntent,action_filter_alarms
is.workflow.actions.filter.articles,action_filter_articles
is.workflow.actions.filter.calendarevents,action_filter_calendarevents
is.workflow.actions.filter.contacts,action_filter_contacts
is.workflow.actions.filter.eventattendees,action_filter_eventattendees
is.workflow.actions.filter.files,action_filter_files
is.workflow.actions.filter.health.quantity,action_filter_health_quality
is.workflow.actions.filter.images,action_filter_images
is.workflow.actions.filter.locations,action_filter_locations
is.workflow.actions.filter.music,action_filter_music
is.workflow.actions.filter.notes,action_filter_notes
is.workflow.actions.filter.photos,action_filter_photos
is.workflow.actions.filter.reminders,action_filter_reminders
com.apple.mobilesafari.TabEntity,action_filter_tab
is.workflow.actions.flashlight,action_flashlight
is.workflow.actions.format.date,action_format_date
is.workflow.actions.format.filesize,action_format_filesize
is.workflow.actions.format.number,action_format_number
is.workflow.actions.generatebarcode,action_generatebarcode
com.apple.mobiletimer.GetCurrentTimerDetailsIntent,action_get_detail_timer
is.workflow.actions.get.playlist,action_get_playlist
is.workflow.actions.getarticle,action_getarticle
is.workflow.actions.getbatterylevel,action_getbatterylevel
is.workflow.actions.getclipboard,action_getclipboard
is.workflow.actions.getcurrentlocation,action_getcurrentlocation
is.workflow.actions.getcurrentsong,action_getcurrentsong
is.workflow.actions.getdevicedetails,action_getdevicedetails
