Action,Function
is.workflow.actions.dictionary,action_dictionary
is.workflow.actions.comment,action_comment
is.workflow.actions.gettext,action_gettext
is.workflow.actions.choosefromlist,action_choosefromlist
is.workflow.actions.conditional,action_conditional
is.workflow.actions.setvariable,action_setvariable
is.workflow.actions.openapp,action_openapp
is.workflow.actions.sendmessage,action_sendmessage
is.workflow.actions.playmusic,action_playmusic
is.workflow.actions.showresult,action_showresult
is.workflow.actions.alert,action_alert
is.workflow.actions.getlastphoto,action_getlastphoto
is.workflow.actions.image.resize,action_resize
is.workflow.actions.image.convert,action_image_convert
is.workflow.actions.base64encode,action_base64encode
is.workflow.actions.detect.text,action_detect_text
is.workflow.actions.text.split,action_text_split
is.workflow.actions.repeat.each,action_repeat_each
com.apple.mobiletimer-framework.MobileTimerIntents.MTCreateAlarmIntent,action_create_alarm
com.apple.mobiletimer.DeleteAlarmIntent,action_delete_alarm
is.workflow.actions.ask,action_ask
is.workflow.actions.count,action_count
is.workflow.actions.choosefrommenu,action_choosefrommenu
is.workflow.actions.repeat.count,action_repeat_count
is.workflow.actions.delay,action_delay
is.workflow.actions.getvariable,action_getvariable
is.workflow.actions.appendvariable,action_appendvariable
is.workflow.actions.list,action_list
is.workflow.actions.getvalueforkey,action_getvalueforkey
is.workflow.actions.setvalueforkey,action_setvalueforkey
is.workflow.actions.detect.dictionary,action_detect_dictionary
is.workflow.actions.number,action_number
is.workflow.actions.number.random,action_number_random
is.workflow.actions.round,action_round
is.workflow.actions.statistics,action_statistics
is.workflow.actions.measurement.create,action_measurement_create
is.workflow.actions.measurement.convert,action_measurement_convert
is.workflow.actions.date,action_date
is.workflow.actions.format.date,action_format_date
is.workflow.actions.adjustdate,action_adjustdate
is.workflow.actions.gettimebetweendates,action_gettimebetweendates
is.workflow.actions.detect.date,action_detect_date
is.workflow.actions.converttimezone,action_converttimezone
is.workflow.actions.getnameofemoji,action_getnameofemoji
is.workflow.actions.showdefinition,action_showdefinition
is.workflow.actions.text.changecase,action_text_changecase
is.workflow.actions.text.combine,action_text_combine
is.workflow.actions.text.replace,action_text_replace
is.workflow.actions.text.match,action_text_match
is.workflow.actions.correctspelling,action_correctspelling
is.workflow.actions.text.match.getgroup,action_text_match_getgroup
is.workflow.actions.dictatetext,action_dictatetext
com.apple.ShortcutsActions.TranscribeAudioAction,action_transcribe_audio
is.workflow.actions.speaktext,action_speaktext
is.workflow.actions.makespokenaudiofromtext,action_makespokenaudiofromtext
is.workflow.actions.detectlanguage,action_detectlanguage
is.workflow.actions.text.translate,action_text_translate
is.workflow.actions.getitemname,action_getitemname
is.workflow.actions.setitemname,action_setitemname
is.workflow.actions.getitemtype,action_getitemtype
is.workflow.actions.getmyworkflows,action_getmyworkflows
is.workflow.actions.viewresult,action_viewresult
is.workflow.actions.previewdocument,action_previewdocument
is.workflow.actions.runworkflow,action_runworkflow
is.workflow.actions.getonscreencontent,action_getonscreencontent
is.workflow.actions.hash,action_hash
is.workflow.actions.urlencode,action_urlencode
is.workflow.actions.exit,action_exit
is.workflow.actions.openxcallbackurl,action_openxcallbackurl
is.workflow.actions.runsshscript,action_runsshscript
is.workflow.actions.waittoreturn,action_waittoreturn
is.workflow.actions.output,action_output
is.workflow.actions.format.filesize,action_format_filesize
is.workflow.actions.flashlight,action_flashlight
is.workflow.actions.dnd.set,action_dnd_set
is.workflow.actions.dnd.getfocus,action_dnd_getfocus
is.workflow.actions.nothing,action_nothing
is.workflow.actions.bluetooth.set,action_bluetooth_set
is.workflow.actions.wifi.set,action_wifi_set
is.workflow.actions.airplanemode.set,action_airplanemode_set
is.workflow.actions.reboot,action_reboot
is.workflow.actions.lowpowermode.set,action_lowpowermode_set
is.workflow.actions.appearance,action_appearance
is.workflow.actions.setairdropreceiving,action_setairdroppreceiving
is.workflow.actions.vpn.set,action_vpn_set
is.workflow.actions.personalhotspot.set,action_personalhotspot_set
is.workflow.actions.cellulardata.set,action_cellulardata_set
is.workflow.actions.lockscreen,action_lockscreen
is.workflow.actions.nightshift.set,action_nightshift_set
is.workflow.actions.truetone.set,action_truetone_set
is.workflow.actions.setbrightness,action_setbrightness
is.workflow.actions.orientationlock.set,action_orientationlock_set
is.workflow.actions.returntohomescreen,action_returntohomescreen
is.workflow.actions.takephoto,action_takephoto
is.workflow.actions.takevideo,action_takevideo
is.workflow.actions.recordaudio,action_recordaudio
is.workflow.actions.takescreenshot,action_takescreenshot
is.workflow.actions.getdevicedetails,action_getdevicedetails
is.workflow.actions.getbatterylevel,action_getbatterylevel
com.apple.ShortcutsActions.GetOrientationAction,action_getorientation
com.apple.ShortcutsActions.GetPhysicalActivity,action_getphysicalactivity
is.workflow.actions.setclipboard,action_setclipboard
is.workflow.actions.playsound,action_playsound
is.workflow.actions.notification,action_notification
is.workflow.actions.getclipboard,action_getclipboard
is.workflow.actions.vibrate,action_vibrate
is.workflow.actions.getipaddress,action_getipaddress
is.workflow.actions.getwifi,action_getwifi
is.workflow.actions.personalhotspot.password.get,action_personalhotspot_password_get
com.apple.ShortcutsActions.ResetCellularDataStatisticsAction,action_reset_cellulardata_statistics
is.workflow.actions.wallpaper.set,action_wallpaper_set
is.workflow.actions.posters.get,action_posters_get
is.workflow.actions.getcurrentlocation,action_getcurrentlocation
is.workflow.actions.searchlocalbusinesses,action_searchlocalbusinesses
