Action Name,Prompt Description,Action Function,Data Collection,Data Insertion,Data Exfiltration,Resource Control,Trace Hiding
is.workflow.actions.addnewcontact,Add New Contact,action_add_new_contact,,1,,,
com.apple.mobilenotes.AddTagsToNotesLinkAction,Add Tags to Notes,action_add_tag_notes,,1,,,
com.apple.mobilenotes.PinNotesLinkAction,Pin Notes,action_add_to_pinnote,,1,,,
is.workflow.actions.addframetogif,Add Frame to GIF,action_addframetogif,,1,,,
is.workflow.actions.addmusictoupnext,Add to Playing Next,action_addmusictoupnext,,,,1,
is.workflow.actions.addnewcalendar,Add New Calendar,action_addnewcalendar,,1,,,
is.workflow.actions.addnewevent,Add New Event,action_addnewevent,,1,,,
is.workflow.actions.addnewreminder,Add New Reminder,action_addnewreminder,,1,,,
is.workflow.actions.address,Street Address,action_address,,,,,
is.workflow.actions.addtoplaylist,Add to Playlist,action_addtoplaylist,,1,,,
is.workflow.actions.adjustdate,Adjust Date,action_adjustdate,,,,1,
is.workflow.actions.airdropdocument,AirDrop,action_airdropdocument,,,1,,
is.workflow.actions.airplanemode.set,Set Airplane Mode,action_airplanemode_set,,,,1,
is.workflow.actions.alert,Show Alert,action_alert,,1,1,1,
is.workflow.actions.appearance,Set Appearance,action_appearance,,,,1,
is.workflow.actions.appendnote,Append to Note,action_appendnote,,1,,,
is.workflow.actions.appendvariable,Add to Variable,action_appendvariable,,,,,
is.workflow.actions.ask,Ask for Input,action_ask,1,,,1,
is.workflow.actions.avairyeditphoto,Markup,action_avairyeditphoto,,1,,,
is.workflow.actions.base64encode,Base64 Encode,action_base64encode,,,,,1
is.workflow.actions.bluetooth.set,Set Bluetooth,action_bluetooth_set,,,,1,
is.workflow.actions.calculateexpression,Calculate Expression,action_calculateexpression,,,,,
com.apple.mobilephone.call,Call,action_call,,,1,1,
com.apple.mobiletimer.CancelTimerIntent,Cancel Timer,action_cancel_timer,,,,1,
is.workflow.actions.cellulardata.set,Set Cellular Data,action_cellulardata_set,,,,1,
com.apple.mobilemail.MailFocusConfigurationAction,Set Mail Focus Filter,action_change_focus_mail,,,,1,
com.apple.VoiceMemos.ChangeRecordingPlaybackSetting,Change Recording Playback Setting,action_change_setting_recording,,,,1,
is.workflow.actions.choosefromlist,Choose from List,action_choosefromlist,,,1,1,
is.workflow.actions.choosefrommenu,Choose from Menu,action_choosefrommenu,,,1,1,
is.workflow.actions.clearupnext,Clear Playing Next,action_clearupnext,,,,1,
is.workflow.actions.comment,Comment,action_comment,,,,,
is.workflow.actions.compresspdf,Optimize File Size of PDF,action_compresspdf,,,,,
is.workflow.actions.conditional,If,action_conditional,,,,,
is.workflow.actions.contacts,Contacts,action_contacts,,,,,
is.workflow.actions.converttimezone,Convert Time Zone,action_converttimezone,,,,,
is.workflow.actions.correctspelling,Correct Spelling,action_correctspelling,,,,,
is.workflow.actions.count,Count,action_count,,,,,
com.apple.mobiletimer-framework.MobileTimerIntents.MTCreateAlarmIntent,Add Alarm,action_create_alarm,,,,1,
is.workflow.actions.alarm.create,Create Alarm,action_create_alarm,,,,1,
com.apple.mobilenotes.CreateFolderLinkAction,Create Folder,action_create_note_folder,,1,,,
com.apple.VoiceMemos.RecordVoiceMemoIntent,Create Recoding,action_create_recording,1,,,,
is.workflow.actions.sirikit.donation.handle,Create Recording,action_create_recording,1,,,,
com.apple.reminders.TTRCreateListAppIntent,Create Reminder List,action_create_remainderlist,,1,,,
com.apple.shortcuts.CreateWorkflowAction,Create Shortcut,action_create_shortcut,,1,,,
com.apple.mobilenotes.CreateTagLinkAction,Create Tag,action_create_tag_notes,,1,,,
com.apple.mobilenotes.SharingExtension,Create Note,action_createnote,,1,,,
is.workflow.actions.createplaylist,Create Playlist,action_createplaylist,,1,,,
is.workflow.actions.date,Date,action_date,,,,,
is.workflow.actions.delay,Wait,action_delay,,,,,
com.apple.mobiletimer.DeleteAlarmIntent,Delete Alarm,action_delete_alarm,,,,1,
com.apple.mobilenotes.DeleteFoldersLinkAction,Delete Folders,action_delete_note_folder,,,,1,
com.apple.VoiceMemos.DeleteRecording,Delete Recording,action_delete_recording,,,,1,
com.apple.mobilenotes.DeleteTagsLinkAction,Delete Tags,action_delete_tag_notes,,,,1,
com.apple.mobilenotes.DeleteNotesLinkAction,Delete Notes,action_deletenote,,,,1,
is.workflow.actions.deletephotos,Delete Photos,action_deletephoto,,,,1,
com.apple.shortcuts.DeleteWorkflowAction,Delete Shortcut,action_deleteworkflow,,,,1,
is.workflow.actions.detect.address,Get Address from Input,action_detect_address,,,,,
is.workflow.actions.detect.contacts,Get Contacts from Input,action_detect_contacts,,,,,
is.workflow.actions.detect.date,Get Date from Input,action_detect_date,,,,,
is.workflow.actions.detect.dictionary,Get Dictionary from Input,action_detect_dictionary,,,,,
is.workflow.actions.detect.emailaddress,Get Email Address from Input,action_detect_emailaddress,,,,,
is.workflow.actions.detect.images,Get Images from Input,action_detect_images,,,,,
is.workflow.actions.detect.link,Get URLs from Input,action_detect_link,,,,,
is.workflow.actions.detect.number,Get Number from Input,action_detect_number,,,,,
is.workflow.actions.detect.phonenumber,Get Phone Number from Input,action_detect_phonenumber,,,,,
is.workflow.actions.detect.text,Get Text From Input,action_detect_text,,,,,
is.workflow.actions.detectlanguage,Detect Language,action_detectlanguage,,,,,
is.workflow.actions.dictatetext,Dictate Text,action_dictatetext,,,1,1,
is.workflow.actions.dictionary,Dictionary,action_dictionary,,,,,
is.workflow.actions.dismisssiri,Dismiss Siri and Continue,action_dismisssiri,,,,1,
is.workflow.actions.dnd.getfocus,Get Current Focus,action_dnd_getfocus,,,,,
is.workflow.actions.dnd.set,Set Focus,action_dnd_set,,,,1,
is.workflow.actions.documentpicker.open,Get File from Folder,action_documentpicker_open,1,,,,
is.workflow.actions.documentpicker.save,Save File,action_documentpicker_save,,1,,1,
is.workflow.actions.downloadurl,Get Contents of URL,action_downloadurl,,1,,,
com.apple.mobiletimer.EditSleepAlarmIntent,Edit Sleep Alarm,action_edit_alarm,,,,1,
is.workflow.actions.email,Email Address,action_email,,,,,
is.workflow.actions.encodemedia,Encode Media,action_encodemedia,,,,,1
is.workflow.actions.exit,Stop Shortcut,action_exit,,,,,
is.workflow.actions.exportsong,Select Music,action_exportsong,,,,,
is.workflow.actions.extracttextfromimage,Extract Text from Image,action_extracttextfromimage,,,,,
com.apple.facetime.facetime,FaceTime,action_facetime,,,1,1,
is.workflow.actions.file,File,action_file,,,,,
is.workflow.actions.folder,Folder,action_file,,,,,
is.workflow.actions.file.append,Append to Text File,action_file_append,,1,,,
is.workflow.actions.file.createfolder,Create Folder,action_file_createfolder,,1,,,
is.workflow.actions.file.delete,Delete Files,action_file_delete,,,,1,
is.workflow.actions.file.getfoldercontents,Get Contents of Folder,action_file_getfoldercontents,1,,,,
is.workflow.actions.file.getlink,Get Link to File,action_file_getlink,1,,,,
is.workflow.actions.file.move,Move File,action_file_move,,,,1,
is.workflow.actions.file.rename,Rename File,action_file_rename,,,,1,
is.workflow.actions.file.select,Select File,action_file_select,1,,,,
com.apple.mobiletimer-framework.MobileTimerIntents.MTGetAlarmsIntent,Find Alarms,action_filter_alarms,1,,,,
is.workflow.actions.filter.articles,Filter Articles,action_filter_articles,1,,,,
is.workflow.actions.filter.calendarevents,Find Calendar Events,action_filter_calendarevents,1,,,,
is.workflow.actions.filter.contacts,Find Contacts,action_filter_contacts,1,,,,
is.workflow.actions.filter.eventattendees,Filter Event Attendees,action_filter_eventattendees,1,,,,
is.workflow.actions.filter.files,Filter Files,action_filter_files,1,,,,
is.workflow.actions.filter.health.quantity,Find Health Samples,action_filter_health_quality,1,,,,
is.workflow.actions.filter.images,Filter Images,action_filter_images,1,,,,
is.workflow.actions.filter.locations,Filter Locations,action_filter_locations,1,,,,
is.workflow.actions.filter.music,Find Music,action_filter_music,1,,,,
is.workflow.actions.filter.notes,Find Notes,action_filter_notes,1,,,,
is.workflow.actions.filter.photos,Find Photos,action_filter_photos,1,,,,
com.apple.ShortcutsActions.CellularPlanEntity,Filter Cellular Plans,,1,,,,
is.workflow.actions.filter.reminders,Find Reminders,action_filter_reminders,1,,,,
com.apple.mobilesafari.TabEntity,Find Tabs,action_filter_tab,1,,,,
is.workflow.actions.flashlight,Set Flashlight,action_flashlight,,,,1,
is.workflow.actions.format.date,Format Date,action_format_date,,,,,
is.workflow.actions.format.filesize,Format File Size,action_format_filesize,,,,,
is.workflow.actions.format.number,Format Number,action_format_number,,,,,
is.workflow.actions.generatebarcode,Generate QR Code,action_generatebarcode,,1,,,1
com.apple.mobiletimer.GetCurrentTimerDetailsIntent,Get Current Timer,action_get_detail_timer,,,,,
is.workflow.actions.get.playlist,Get Playlist,action_get_playlist,,,,,
is.workflow.actions.getarticle,Get Article,action_getarticle,,,,,
is.workflow.actions.getbatterylevel,Get Battery Status,action_getbatterylevel,1,,,,
is.workflow.actions.getclipboard,Get Clipboard,action_getclipboard,1,,,,
is.workflow.actions.getcurrentlocation,Get Current Location,action_getcurrentlocation,1,,,,
is.workflow.actions.getcurrentsong,Get Current Song,action_getcurrentsong,1,,,,
is.workflow.actions.getdevicedetails,Get Device Details,action_getdevicedetails,1,,,,
is.workflow.actions.getdirections,Open Directions,action_getdirections,,,,,
is.workflow.actions.getdistance,Get Distance,action_getdistance,,,,,
is.workflow.actions.getepisodesforpodcast,Get Episodes of Podcast,action_getepisodesforpodcast,,,,,
is.workflow.actions.getframesfromimage,Get Frames from Image,action_getframesfromimage,,,,,
is.workflow.actions.gethalfwaypoint,Get Halfway Point,action_gethalfwaypoint,,,,,
is.workflow.actions.gethomeaccessorystate,Get State of Home,action_gethomeaccessory,1,,,,
is.workflow.actions.gethtmlfromrichtext,Make HTML from Rich Text,action_gethtmlfromrichtext,,,,,
is.workflow.actions.getipaddress,Get Current IP Address,action_getipaddress,1,,,,
is.workflow.actions.getitemfromlist,Get Item from List,action_getitemfromlist,,,,,
is.workflow.actions.getitemname,Get Name,action_getitemname,,,,,
is.workflow.actions.getitemtype,Get Type,action_getitemtype,,,,,
is.workflow.actions.getlastphoto,Get Last Photos,action_getlastphoto,1,,,,
is.workflow.actions.getlastscreenshot,Get Latest Screenshots,action_getlastscreenshot,1,,,,
is.workflow.actions.getlastvideo,Get Latest Videos,action_getlastvideo,1,,,,
is.workflow.actions.getlatestbursts,Get Latest Bursts,action_getlatestburst,1,,,,
is.workflow.actions.getlatestlivephotos,Get Latest Live Photos,action_getlatestlivephotos,1,,,,
is.workflow.actions.getlatestphotoimport,Get Last Import,action_getlatestphotoimport,1,,,,
is.workflow.actions.getmapslink,Get Maps URL,action_getmapslink,,,,,
is.workflow.actions.getmarkdownfromrichtext,Make Markdown from Rich Text,action_getmarkdownfromrichtext,,,,,
is.workflow.actions.getmyworkflows,Get My Shortcuts,action_getmyworkflows,1,,,,
com.apple.shortcuts.TranscribeAudioAction,,,,,1,,
is.workflow.actions.getnameofemoji,Get Name of Emoji,action_getnameofemoji,,,,,
is.workflow.actions.getonscreencontent,'Get What\'s On Screen',action_getonscreencontent,1,,,,
com.apple.ShortcutsActions.GetOrientationAction,Get Orientation,action_getorientation,1,,,,
is.workflow.actions.getparkedcarlocation,Get Parked Car Location,action_getparkedcarlocation,1,,,,
